Date,"Event Name","Event Region","Event Type",Division,"Match Type","Match Number","Red 1","Red 2","Red 3","Blue 1","Blue 2","Blue 3","Red 1; No Show (1) Disqualified (2)","Red 2; No Show (1) Disqualified (2)","Red 3; No Show (1) Disqualified (2)","Blue 1; No Show (1) Disqualified (2)","Blue 2; No Show (1) Disqualified (2)","Blue 3; No Show (1) Disqualified (2)","Red 1 Surrogate","Red 2 Surrogate","Red 3 Surrogate","Blue 1 Surrogate","Blue 2 Surrogate","Blue 3 Surrogate","Match Saved","Red Autonomous Period; Robot 1 Placement","Red Autonomous Period, Robot 2 Placement","Red Autonomous Period, Rescue Beacons","Red Autonomous Period, Climbers in Shelter","Red Driver Controlled; Robot 1 Placement","Red Driver Controlled; Robot 2 Placement","Red Driver Controlled; Floor Goal","Red Driver Controlled; High Goal","Red Driver Controlled; Low Goal","Red Driver Controlled; Mid Goal","Red Driver Controlled; Climbers in Shelter","Red Driver Controlled; Zip Line","Red End Game; All Clear Signal","Red End Game; Robot on Pull Up Bar","Red Minor Penalty Incurred","Red Major Penalty Incurred","Red Minor Penalty Awarded","Red Major Penalty Awarded","Blue Autonomous Period; Robot 1 Placement","Blue Autonomous Period, Robot 2 Placement","Blue Autonomous Period, Rescue Beacons","Blue Autonomous Period, Climbers in Shelter","Blue Driver Controlled; Robot 1 Placement","Blue Driver Controlled; Robot 2 Placement","Blue Driver Controlled; Floor Goal","Blue Driver Controlled; High Goal","Blue Driver Controlled; Low Goal","Blue Driver Controlled; Mid Goal","Blue Driver Controlled; Climbers in Shelter","Blue Driver Controlled; Zip Line","Blue End Game; All Clear Signal","Blue End Game; Robot on Pull Up Bar","Blue Minor Penalty Incurred","Blue Major Penalty Incurred","Blue Minor Penalty Awarded","Blue Major Penalty Awarded",
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,15,8668,4906,0,8908,9829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,4,4,0,0,2,2,2,0,0,0,0,1,0,0,1,0,2,3,4,6,9,0,6,4,1,0,0,1,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,16,5937,10479,0,8373,6123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,5,0,10,0,1,0,0,3,0,1,0,0,2,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,17,7163,4545,0,5064,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,3,2,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,5,3,0,4,2,2,0,1,0,0,1,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,18,8366,7300,0,9386,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,3,7,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,19,9879,7398,0,4641,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,4,0,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,3,10,0,0,0,1,0,1,0,0,0,1,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,20,92,11000,0,6710,8609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,9,4,6,0,1,3,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,21,10479,6047,0,4290,5628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,0,0,13,0,2,0,0,0,0,0,0,0,4,0,2,0,0,7,0,1,0,4,2,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,22,7842,5937,0,5890,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,10,3,0,0,2,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,6,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,23,5064,6123,0,7505,9829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,5,4,6,4,2,0,2,0,0,1,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,1,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,24,5970,4906,0,7163,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,6,0,3,0,5,0,4,3,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,25,4631,8668,0,9386,7079,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,5,2,0,5,2,4,2,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,26,8373,8626,0,4545,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,6,0,6,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,3,0,2,9,0,0,2,2,0,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,27,8366,8908,0,3781,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,22,0,0,1,3,2,0,1,5,0,0,0,1,0,0,2,4,6,1,8,0,4,4,2,0,0,0,0,5,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,28,6123,5628,0,9879,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,4,0,7,0,0,1,4,1,1,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,29,4290,6710,0,5937,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,11,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,6,4,3,0,0,0,4,3,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,30,8609,9829,0,7163,7398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,4,3,7,3,7,2,3,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,8,5,2,1,2,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,31,7505,9386,0,6047,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,7,0,5,8,2,2,0,1,1,1,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,32,4906,3781,0,8626,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,0,5,5,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,3,8,0,0,0,4,2,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,33,7300,5890,0,8366,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,13,0,4,0,3,1,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,34,92,4641,0,10479,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,15,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,2,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,35,8373,7079,0,5064,8908,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,4,14,3,0,9,2,1,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,36,4545,8668,0,7842,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,4,10,0,1,2,2,0,0,1,0,1,0,0,0,0,0,5,3,7,0,3,0,2,0,0,0,1,0,1,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,37,9386,3854,0,4906,7505,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,38,9829,5970,0,3781,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,4,3,10,0,0,4,1,0,0,0,0,0,0,1,0,1,2,4,6,2,9,0,0,2,2,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,39,8609,8626,0,4641,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,11,0,4,0,2,1,1,1,0,0,0,0,0,0,0,0,3,0,7,0,0,0,2,1,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,40,5628,6451,0,4631,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,10,0,0,3,3,1,1,1,0,0,0,0,0,1,0,2,5,0,2,4,0,8,3,1,0,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,41,8373,4545,0,4290,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,4,3,10,0,2,1,2,0,1,0,0,0,0,0,3,0,0,3,5,18,0,0,0,1,2,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,42,11000,9930,0,5937,7398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,6,0,3,0,4,1,0,0,0,0,0,0,3,0,0,0,6,0,8,0,0,8,3,2,0,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,43,7079,6710,0,3587,8366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,7,0,0,2,0,1,0,0,0,0,0,1,0,0,4,0,22,0,1,0,0,1,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,44,8668,7300,0,10479,9879,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,1,0,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,2,0,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,45,7163,7842,0,8908,6123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,3,0,0,2,2,0,0,0,0,0,0,0,1,0,0,4,3,3,0,2,6,4,1,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,46,3854,4641,0,9829,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,0,4,1,0,1,0,0,0,0,1,0,0,2,4,0,10,11,0,4,2,3,0,0,0,0,0,0,
