Date,"Event Name","Event Region","Event Type",Division,"Match Type","Match Number","Red 1","Red 2","Red 3","Blue 1","Blue 2","Blue 3","Red 1; No Show (1) Disqualified (2)","Red 2; No Show (1) Disqualified (2)","Red 3; No Show (1) Disqualified (2)","Blue 1; No Show (1) Disqualified (2)","Blue 2; No Show (1) Disqualified (2)","Blue 3; No Show (1) Disqualified (2)","Red 1 Surrogate","Red 2 Surrogate","Red 3 Surrogate","Blue 1 Surrogate","Blue 2 Surrogate","Blue 3 Surrogate","Match Saved","Red Autonomous Period; Robot 1 Placement","Red Autonomous Period, Robot 2 Placement","Red Autonomous Period, Rescue Beacons","Red Autonomous Period, Climbers in Shelter","Red Driver Controlled; Robot 1 Placement","Red Driver Controlled; Robot 2 Placement","Red Driver Controlled; Floor Goal","Red Driver Controlled; High Goal","Red Driver Controlled; Low Goal","Red Driver Controlled; Mid Goal","Red Driver Controlled; Climbers in Shelter","Red Driver Controlled; Zip Line","Red End Game; All Clear Signal","Red End Game; Robot on Pull Up Bar","Red Minor Penalty Incurred","Red Major Penalty Incurred","Red Minor Penalty Awarded","Red Major Penalty Awarded","Blue Autonomous Period; Robot 1 Placement","Blue Autonomous Period, Robot 2 Placement","Blue Autonomous Period, Rescue Beacons","Blue Autonomous Period, Climbers in Shelter","Blue Driver Controlled; Robot 1 Placement","Blue Driver Controlled; Robot 2 Placement","Blue Driver Controlled; Floor Goal","Blue Driver Controlled; High Goal","Blue Driver Controlled; Low Goal","Blue Driver Controlled; Mid Goal","Blue Driver Controlled; Climbers in Shelter","Blue Driver Controlled; Zip Line","Blue End Game; All Clear Signal","Blue End Game; Robot on Pull Up Bar","Blue Minor Penalty Incurred","Blue Major Penalty Incurred","Blue Minor Penalty Awarded","Blue Major Penalty Awarded",
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,16,6253,5029,0,9290,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,3,5,0,0,2,0,0,0,1,0,0,0,0,1,0,0,5,0,1,0,0,1,4,1,0,0,0,0,1,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,17,6022,10418,0,10464,6961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,4,0,3,0,6,2,1,0,0,0,0,0,0,1,0,0,0,0,5,10,0,0,0,2,2,0,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,18,8431,4537,0,8120,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,12,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,5,3,15,0,0,0,2,1,0,0,0,0,2,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,19,5140,9197,0,6133,9345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,6,0,1,0,2,2,1,1,0,0,0,0,1,0,0,0,3,6,4,7,0,0,0,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,20,5256,10211,0,7136,5029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,3,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,6,4,3,0,0,4,2,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,21,3537,10237,0,6054,10030,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,10,2,0,3,2,3,0,1,0,0,0,0,0,0,0,0,5,4,0,4,5,9,2,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,22,9789,4510,0,5040,6085,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,23,5933,9290,0,6987,8393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,10,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,3,4,4,0,3,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,24,1001,4969,0,5501,6253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,4,0,0,1,0,0,0,0,1,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,25,5140,10237,0,8431,10211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,6,8,0,0,0,3,3,0,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,26,6961,9345,0,6085,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,0,9,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,6,0,3,0,0,0,2,3,0,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,27,10464,5029,0,4537,5933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,7,0,0,6,4,1,0,1,0,0,0,0,0,1,0,0,3,3,8,0,1,0,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,28,5501,9290,0,4510,10418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,13,0,6,0,2,2,1,1,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,29,7136,1001,0,9789,9197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,7,4,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0,3,0,4,2,1,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,30,4277,6054,0,6987,6133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,20,2,0,0,0,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,31,10030,6022,0,8120,6253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,3,5,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,2,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,32,5040,4969,0,3537,8393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,7,0,2,4,4,0,0,1,1,0,0,0,0,1,0,0,4,3,16,3,0,5,0,0,0,0,0,0,1,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,33,5256,10418,0,9789,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,34,5501,9345,0,6987,7136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,19,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,3,6,13,5,0,0,1,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,35,10464,4277,0,9197,10030,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,7,10,0,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,36,6961,3537,0,5140,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3,11,3,0,3,2,0,0,1,0,0,0,0,0,1,0,0,3,5,12,0,3,0,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,37,8120,6054,0,5933,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,6,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,38,6133,6253,0,10211,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,0,2,10,0,0,2,1,0,1,0,0,0,0,0,0,0,0,6,3,7,0,0,1,4,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,39,4969,8431,0,6085,5029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,6,0,2,2,0,2,0,0,0,0,0,1,0,0,6,4,5,0,0,4,2,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,1,40,4537,8393,0,6022,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,3,6,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,4,5,0,4,7,2,0,0,0,0,0,1,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,3,11,6133,3537,5140,9789,10464,1001,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,0,1,0,0,4,0,31,0,0,0,4,2,1,1,0,0,1,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,3,21,10030,6022,10211,4969,6961,6987,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,6,3,0,6,5,4,2,0,0,0,0,0,0,1,0,1,2,0,0,10,0,2,0,4,3,0,2,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,3,12,6133,3537,5140,9789,10464,1001,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,8,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,19,0,7,0,4,2,1,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,3,22,10030,6022,10211,4969,6961,6987,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,15,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,4,3,20,2,0,0,2,2,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,3,23,10030,6022,10211,4969,6961,6987,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0,7,0,7,8,4,2,0,1,0,0,0,0,1,0,0,0,0,0,5,0,2,0,2,2,0,2,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,4,1,9789,10464,1001,10030,6022,10211,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,4,2,0,2,0,0,0,0,0,1,0,1,0,6,3,2,5,8,1,1,0,0,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,4,2,9789,10464,1001,10030,6022,10211,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,7,1,2,2,1,1,0,0,0,0,0,1,0,2,0,6,6,3,0,10,4,1,0,1,0,0,0,0,
2/13/16,Ohio State Championship,Ohio,State Championship,1,4,3,9789,10464,1001,10030,6022,10211,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,4,2,1,1,0,0,0,1,0,3,0,0,4,6,2,3,12,9,3,2,0,0,0,1,0,0,
